Rank,Team,Current Value,Value Change 1Yr ,Debt/Value,Revenue,Operating Income
1,New York Knicks,613,1,0,208,29.6
2,Los Angeles Lakers,584,4,22,191,47.9
3,Chicago Bulls,504,1,11,165,55.4
4,Detroit Pistons,480,1,0,160,40.4
5,Cleveland Cavaliers,477,5,42,159,13.1
6,Houston Rockets,469,1,15,156,31.2
7,Dallas Mavericks,466,1,26,153,-13.6
8,Phoenix Suns,452,1,39,148,28.9
9,Boston Celtics,447,14,40,149,20.1
10,San Antonio Spurs,415,3,13,138,19
11,Toronto Raptors,400,7,40,138,27.7
12,Miami Heat,393,-6,43,131,-1.1
13,Philadelphia 76ers,360,-5,18,116,0.3
14,Utah Jazz,358,5,3,119,8.8
15,Washington Wizards,353,2,47,118,14.9
16,Sacramento Kings,350,-9,24,117,7
17,Orlando Magic,349,8,29,100,6.2
18,Golden State Warriors,335,8,22,112,14.2
19,Denver Nuggets,329,3,14,112,-26.3
20,Portland Trail Blazers,307,21,34,114,-0.9
21,Atlanta Hawks,306,7,23,102,6.7
22,Indiana Pacers,303,-9,16,101,-6.5
23,Minnesota Timberwolves,301,-2,17,100,-5.7
24,Oklahoma City Thunder,300,12,47,82,-9.4
25,Los Angeles Clippers,297,1,0,99,10.7
26,New Jersey Nets,295,-13,71,98,-0.9
27,Memphis Grizzlies,294,-3,51,95,-3.2
28,New Orleans Hornets,285,5,35,95,3.2
29,Charlotte Bobcats,284,-1,53,95,-4.9
30,Milwaukee Bucks,278,5,20,94,5.4
